REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2018,40,X,1.63142,X,X,X,X,X,X,638,78,39107
States,California,2018,40,X,1.39592,X,X,X,X,X,X,626,100,44845
States,Georgia,2018,40,X,2.31987,X,X,X,X,X,X,1850,95,79746
States,Illinois,2018,40,X,0.79196,X,X,X,X,X,X,394,103,49750
States,Maryland,2018,40,X,0.712356,X,X,X,X,X,X,58,23,8142
States,North Carolina,2018,40,X,0.867867,X,X,X,X,X,X,929,151,107044
States,Pennsylvania,2018,40,X,0.897104,X,X,X,X,X,X,530,141,59079
States,Texas,2018,40,X,2.57869,X,X,X,X,X,X,730,108,28309
States,Virginia,2018,40,X,1.52388,X,X,X,X,X,X,1373,128,90099
States,West Virginia,2018,40,X,0.799522,X,X,X,X,X,X,107,45,13383
States,Alabama,2018,41,X,1.73256,X,X,X,X,X,X,635,78,36651
States,California,2018,41,X,1.20019,X,X,X,X,X,X,537,101,44743
States,Georgia,2018,41,X,2.39457,X,X,X,X,X,X,1830,96,76423
States,Illinois,2018,41,X,1.00549,X,X,X,X,X,X,493,106,49031
States,Maryland,2018,41,X,0.709849,X,X,X,X,X,X,56,23,7889
States,North Carolina,2018,41,X,0.983146,X,X,X,X,X,X,1043,153,106088
States,Pennsylvania,2018,41,X,1.04547,X,X,X,X,X,X,633,140,60547
States,Texas,2018,41,X,2.12597,X,X,X,X,X,X,589,107,27705
States,Virginia,2018,41,X,1.65295,X,X,X,X,X,X,1490,130,90142
States,West Virginia,2018,41,X,0.734944,X,X,X,X,X,X,108,47,14695
States,Alabama,2018,42,X,1.83247,X,X,X,X,X,X,653,78,35635
States,California,2018,42,X,1.33277,X,X,X,X,X,X,600,98,45019
States,Georgia,2018,42,X,2.62093,X,X,X,X,X,X,2067,98,78865
States,Illinois,2018,42,X,1.0392,X,X,X,X,X,X,518,104,49846
States,Maryland,2018,42,X,1.08863,X,X,X,X,X,X,85,23,7808
States,North Carolina,2018,42,X,1.0974,X,X,X,X,X,X,1167,154,106342
States,Pennsylvania,2018,42,X,1.08206,X,X,X,X,X,X,608,139,56189
States,Texas,2018,42,X,2.2117,X,X,X,X,X,X,607,107,27445
States,Virginia,2018,42,X,1.96792,X,X,X,X,X,X,1715,130,87148
States,West Virginia,2018,42,X,0.907568,X,X,X,X,X,X,130,45,14324
States,Alabama,2018,43,X,2.22504,X,X,X,X,X,X,842,79,37842
States,California,2018,43,X,1.49479,X,X,X,X,X,X,644,95,43083
States,Georgia,2018,43,X,2.95452,X,X,X,X,X,X,2338,99,79133
States,Illinois,2018,43,X,1.16002,X,X,X,X,X,X,579,104,49913
States,Maryland,2018,43,X,1.00276,X,X,X,X,X,X,69,22,6881
States,North Carolina,2018,43,X,1.32105,X,X,X,X,X,X,1347,155,101964
States,Pennsylvania,2018,43,X,1.16296,X,X,X,X,X,X,647,136,55634
States,Texas,2018,43,X,2.47668,X,X,X,X,X,X,701,104,28304
States,Virginia,2018,43,X,1.88437,X,X,X,X,X,X,1632,137,86607
States,West Virginia,2018,43,X,1.02533,X,X,X,X,X,X,151,47,14727
States,Alabama,2018,44,X,2.2857,X,X,X,X,X,X,861,77,37669
States,California,2018,44,X,1.70567,X,X,X,X,X,X,753,103,44147
States,Georgia,2018,44,X,3.32044,X,X,X,X,X,X,2626,97,79086
States,Illinois,2018,44,X,1.30534,X,X,X,X,X,X,656,105,50255
States,Maryland,2018,44,X,1.67476,X,X,X,X,X,X,138,23,8240
States,North Carolina,2018,44,X,1.38984,X,X,X,X,X,X,1442,154,103753
States,Pennsylvania,2018,44,X,1.23459,X,X,X,X,X,X,673,133,54512
States,Texas,2018,44,X,2.91386,X,X,X,X,X,X,825,106,28313
States,Virginia,2018,44,X,2.05753,X,X,X,X,X,X,1819,136,88407
States,West Virginia,2018,44,X,1.02125,X,X,X,X,X,X,148,44,14492
States,Alabama,2018,45,X,2.62869,X,X,X,X,X,X,1004,76,38194
States,California,2018,45,X,1.86075,X,X,X,X,X,X,829,103,44552
States,Georgia,2018,45,X,3.39753,X,X,X,X,X,X,2745,98,80794
States,Illinois,2018,45,X,1.25819,X,X,X,X,X,X,632,104,50231
States,Maryland,2018,45,X,1.62602,X,X,X,X,X,X,98,23,6027
States,North Carolina,2018,45,X,1.38485,X,X,X,X,X,X,1254,150,90551
States,Pennsylvania,2018,45,X,1.36805,X,X,X,X,X,X,725,131,52995
States,Texas,2018,45,X,3.02654,X,X,X,X,X,X,878,106,29010
States,Virginia,2018,45,X,2.27396,X,X,X,X,X,X,1850,120,81356
States,West Virginia,2018,45,X,1.06018,X,X,X,X,X,X,173,47,16318
States,Alabama,2018,46,X,2.91768,X,X,X,X,X,X,1041,72,35679
States,California,2018,46,X,2.12431,X,X,X,X,X,X,824,91,38789
States,Georgia,2018,46,X,3.75225,X,X,X,X,X,X,2871,98,76514
States,Illinois,2018,46,X,1.37611,X,X,X,X,X,X,649,102,47162
States,Maryland,2018,46,X,0.813755,X,X,X,X,X,X,62,23,7619
States,North Carolina,2018,46,X,1.54365,X,X,X,X,X,X,1223,152,79228
States,Pennsylvania,2018,46,X,1.454,X,X,X,X,X,X,660,120,45392
States,Texas,2018,46,X,3.21781,X,X,X,X,X,X,883,102,27441
States,Virginia,2018,46,X,2.45717,X,X,X,X,X,X,1896,119,77162
States,West Virginia,2018,46,X,1.11987,X,X,X,X,X,X,152,45,13573
States,Alabama,2018,47,X,2.97596,X,X,X,X,X,X,1014,71,34073
States,California,2018,47,X,2.25761,X,X,X,X,X,X,638,83,28260
States,Georgia,2018,47,X,4.5067,X,X,X,X,X,X,3230,96,71671
States,Illinois,2018,47,X,1.54712,X,X,X,X,X,X,621,103,40139
States,Maryland,2018,47,X,1.55249,X,X,X,X,X,X,63,18,4058
States,North Carolina,2018,47,X,1.58172,X,X,X,X,X,X,1157,144,73148
States,Pennsylvania,2018,47,X,1.6461,X,X,X,X,X,X,587,120,35660
States,Texas,2018,47,X,3.46906,X,X,X,X,X,X,708,96,20409
States,Virginia,2018,47,X,2.72211,X,X,X,X,X,X,2085,118,76595
States,West Virginia,2018,47,X,1.46909,X,X,X,X,X,X,115,41,7828
